major (origin),major2 (disambiguated)
电子信息类（电子信息工程、通信工程、计算机科学与工程、数字媒体技术）,电子科学与技术
电子信息类（电子信息工程、通信工程、计算机科学与技术、数字媒体技术）,电子科学与技术
电子信息类（电子信息工程、通信工程、计算机科学与技术、数字媒体技术）,电子科学与技术
电子信息类(电子信息工程、通信工程、光电信息科学与工程),电子科学与技术
电子信息类（电子信息类、通信工程、计算机科学与技术、数字媒体技术）,电子科学与技术
电子信息类（电气信息类创新实验班）,电子科学与技术
电子信息类（电信学院）,电子科学与技术
电子信息类(汉),电子科学与技术
电子信息类（汉）,电子科学与技术
电子信息类(民族班),电子科学与技术
电子信息类（光电学院）,电子科学与技术
电子信息类（自动化与电气工程类）,电子科学与技术
电子信息类（创新实验班）,电子科学与技术
电子信息类(含电子信息工程、通信工程、光电信息科学与工程),电子科学与技术
电子信息类(含测控技术与仪器、电气工程及其自动化、信息工程、自动化专业),电子科学与技术
电子信息类(茅以升学院),电子科学与技术
电子信息类（国家专项）,电子科学与技术
电子信息类（国家专项计划）,电子科学与技术
电子信息类(物理与光电工程),电子科学与技术
电子信息类（物理与光电工程）,电子科学与技术
电子信息类（空间电子信息）,电子科学与技术
电子信息类(空间电子信息),电子科学与技术
电子信息类（实验班）,电子科学与技术
电子信息类（信息工程）,电子科学与技术
电子信息类(信息通信),电子科学与技术
电子信息类(通信),电子科学与技术
电子信息类（通信工程、电子信息科学与技术）,电子科学与技术
电子信息类(通信工程、电子信息科学与技术),电子科学与技术
电子信息类（通信与控制）,电子科学与技术
电子信息类(通信与控制),电子科学与技术
电子信息类(微电子与集成电路),电子科学与技术
电子信息类（微电子与集成电路）,电子科学与技术
电子信息类(藏),电子科学与技术
电子信息类（藏）,电子科学与技术
电子商务,电子科学与技术
电子商务  (  互联网商务  ),电子科学与技术
电子商务（支付结算方向）,电子科学与技术
电子商务（文史）,电子科学与技术
电子商务(文史),电子科学与技术
电子商务(理工),电子科学与技术
电子商务（理工）,电子科学与技术
电子商务及法律（中外合作办学）,电子科学与技术
电气工程与智能控制,电气工程
电气工程及自动化,电力系统及其自动化
电气工程及其自动化,电力系统及其自动化
电气工程及其自动化 ,电力系统及其自动化
电气工程及其自动化(专项理）,电力系统及其自动化
电气工程及其自动化(中外合作办学),电力系统及其自动化
电气工程及其自动化（双语类）,电力系统及其自动化
电气工程及其自动化(电子信息工程),电力系统及其自动化
电气工程及其自动化（电子信息工程)(中外合作办学）,电力系统及其自动化
电气工程及其自动化(电子信息工程)(中外合作办学),电力系统及其自动化
电气工程及其自动化（电子信息工程）（中外合作办学）,电力系统及其自动化
电气工程及其自动化(电子信息工程)(中外合作办学专业),电力系统及其自动化
电气工程及其自动化（电气卓越计划实验班）,电力系统及其自动化
电气工程及其自动化（汉）,电力系统及其自动化
电气工程及其自动化(民族班),电力系统及其自动化
电气工程及其自动化（国家专项计划）,电力系统及其自动化
电气工程及其自动化（国家贫困专项）,电力系统及其自动化
电气工程及其自动化（单列）,电力系统及其自动化
电气工程及其自动化（单列类）,电力系统及其自动化
电气工程及其自动化(定向)#B9,电力系统及其自动化
电气工程及其自动化(闽台合作),电力系统及其自动化
电气工程及其自动化（闽台合作）,电力系统及其自动化
电气工程及其自动化（高校专项）,电力系统及其自动化
电气工程及其自动化（普通类）,电力系统及其自动化
电气工程及其自动化(新能源国际班),电力系统及其自动化
电气工程及其自动化（新能源国际班）,电力系统及其自动化
电气工程及其自动化（藏）,电力系统及其自动化
电气与自动化类,电力系统及其自动化
电气类,电气工程
电气类（工学Ⅲ）,电气工程
电气类(中外合作办学),电气工程
电气类（中外合作办学）,电气工程
电气类(中外合作办学)(电气工程及其自动化),电气工程
电气类(电气与自动化类),电气工程
电气类（代表理学工学类）,电气工程
电气类(茅以升学院),电气工程
电气类(定向),电气工程
电气类（按电气与自动化类招生，含自动化、电气工程及其自动化）,电气工程
电气类（按电气与自动化类培养）,电气工程
电气类（按电气与自动化类培养）（定向）,电气工程
电气类（理学工学类）,电气工程
电波传播与天线,电气工程
电信工程及管理（中外合作办学）,电气工程
电磁场与无线技术,电磁场与微波技术
电影制作,电影学
电影制作（延长校区）,电影学
生态学,生态学
生态学（中加合作班）,生态学
生态学（双语类）,生态学
生态学（单列）,生态学
生态学(类),生态学
生态学（普通类）,生态学
生态学类,生态学
生物工程,生物化工
生物工程(中外合作办学),生物化工
生物工程（中外合作办学）,生物化工
生物工程（双语类）,生物化工
生物工程（卓越计划）,生物化工
生物工程（单列）,生物化工
生物工程（单列类）,生物化工
生物工程（普通类）,生物化工
生物工程类,生物化工
生物工程类（工学Ⅳ）,生物化工
生物工程类(中外合作办学),生物化工
生物工程类(含生物工程、生物科学、生物技术专业),生物化工
生物工程类（绿色生物制造与生物安全）,生物化工
生物技术,生物化工
生物技术  (  化妆品  ),生物化工
生物技术  (  高精尖项目  ),生物化工
生物技术（中外合作办学）,生物化工
生物技术(中外合作办学),生物化工
生物技术（中加合作办学项目）,生物化工
生物技术（化妆品）,生物化工
生物技术（公费师范）,生物化工
生物技术(生命科学与技术基地班),生物化工
生物技术（闽台合作）,生物化工
生物技术(闽台合作),生物化工
生物技术（基地）,生物化工
生物技术（基础学科生物科技实验班）,生物化工
生物技术（基础学科生物科学与技术实验班）,生物化工
生物技术专业（中外合作办学）,生物化工
生物医学工程,生物化工
生物医学工程（工医理交叉国际化实验班）,生物化工
生物医学工程（工程科学学院）,生物化工
生物医学工程（生医卓越计划实验班）,生物化工
生物医学工程（民）,生物化工
生物医学工程类,生物化工
生物医学工程类（生物与药学）,生物化工
生物医学工程类(生物医学工程与仪器类),生物化工
生物医学工程类（国家专项）,生物化工
生物医学工程类（按生物医学工程与仪器类培养）,生物化工
生物制药,生物化工
生物科学,生物化工
生物科学（中美121）,生物化工
生物科学（贝时璋菁英班）,生物化工
生物科学（公费师范）,生物化工
生物科学（双语类）,生物化工
生物科学（本硕博班）,生物化工
生物科学（生物学基地班）,生物化工
生物科学（动物学）,生物化工
生物科学(师范),生物化工
生物科学（师范）,生物化工
生物科学（免费师范）,生物化工
生物科学（单列）,生物化工
生物科学（单列类）,生物化工
生物科学（预科）,生物化工
生物科学（理科实验班）,生物化工
生物科学（基地）,生物化工
生物科学（基地班）,生物化工
生物科学(基地班),生物化工
生物科学(菁英班),生物化工
生物科学（普通类）,生物化工
生物科学类,生物化工
生物科学类 ,生物化工
生物科学类（少）,生物化工
生物科学类(中外合作办学),生物化工
生物科学类（中外合作办学）,生物化工
生物科学类(中外合作办学)(生物技术),生物化工
生物科学类(生物技术),生物化工
生物科学类(生物科学、生物技术),生物化工
生物科学类（生物科学、生物技术）,生物化工
生物科学类(生物科学、生物技术) ,生物化工
生物科学类(生物科学、生物技术)(含国家理科基地班),生物化工
生物科学类(生物科学、生物技术)(南疆单列计划),生物化工
生物科学类(生物科学、生物技术、生态学),生物化工
生物科学类（生物科学、生物技术、生态学）,生物化工
生物科学类（生物科学、生物技术、生态学）（公费师范生）,生物化工
生物科学类(含生物科学(基地班)、 生物技术),生物化工
生物科学类（含生物科学、生物技术专业）,生物化工
生物科学类（含生物科学专业、生物技术、生态学）,生物化工
生物科学类（含生物科学专业、生物技术专业、生态学）,生物化工
生物信息学,生物学
生命科学类,生物化工
印度尼西亚语,印度语言文学
外交学,外交学
外交学（国际组织与全球治理）,外交学
外交学（法语与法语国家研究）,外交学
外国语言文学类,外国语言文学
外国语言文学类(双外语),外国语言文学
外国语言文学类(含英语、俄语、德语、法语、日语、意大利语),外国语言文学
外国语言文学类(含英语、德语、日语专业),外国语言文学
外国语言文学类（按语言类招生，含英语(与国贸复合)、英语）,外国语言文学
外国语言文学类（按语言类培养）,外国语言文学
外国语言文学类(俄语、西班牙语、法语、日语、朝鲜语)(双外语),外国语言文学
包装工程,服装设计与工程
市场营销,企业管理（含：财务管理、市场营销、人力资源管理）
市场营销（中外合作办学）,企业管理（含：财务管理、市场营销、人力资源管理）
市场营销（双语类）,企业管理（含：财务管理、市场营销、人力资源管理）
市场营销（市场营销、物流管理、电子商务）,企业管理（含：财务管理、市场营销、人力资源管理）
市场营销（国家专项计划）,企业管理（含：财务管理、市场营销、人力资源管理）
市场营销（单列类）,企业管理（含：财务管理、市场营销、人力资源管理）
市场营销（普通类）,企业管理（含：财务管理、市场营销、人力资源管理）
汉文学（汉）,汉语言文字学
汉文学（藏）,汉语言文字学
汉语言,汉语言文字学
汉语言#H,汉语言文字学
汉语言（民考汉文史）,汉语言文字学
汉语言(民考汉南单文）,汉语言文字学
汉语言(民考汉南单理）,汉语言文字学
汉语言（民考汉理工）,汉语言文字学
汉语言文学,汉语言文字学
汉语言文学 ,汉语言文字学
汉语言文学（公费师范）,汉语言文字学
汉语言文学（文史哲基地）,汉语言文字学
汉语言文学（文学/汉）,汉语言文字学
汉语言文学（双语班）,汉语言文字学
汉语言文学(双语班南单文）,汉语言文字学
汉语言文学（汉）,汉语言文字学
汉语言文学(汉),汉语言文字学
汉语言文学（民）,汉语言文字学
汉语言文学(民族班),汉语言文字学
汉语言文学(师范),汉语言文字学
汉语言文学（师范类）,汉语言文字学
汉语言文学(师范类),汉语言文字学
汉语言文学(戏剧影视文学),汉语言文字学
汉语言文学（戏剧影视文学）,汉语言文字学
汉语言文学（财经文秘方向）,汉语言文字学
汉语言文学（免费师范）,汉语言文字学
汉语言文学（单列）,汉语言文字学
汉语言文学（法商文秘）,汉语言文字学
汉语言文学(定向),汉语言文字学
汉语言文学（定向）,汉语言文字学
汉语言文学（高校专项）,汉语言文字学
汉语言文学（预科）,汉语言文字学
汉语言文学（基地班）,汉语言文字学
汉语言文学（厦门大学马来西亚分校）,汉语言文字学
汉语言文学(普通类),汉语言文字学
汉语言文学(藏),汉语言文字学
汉语言文科学,汉语言文字学
汉语国际教育,教育学
汉语国际教育（双语类）,教育技术学（可授教育学、理学学位）
汉语国际教育（单列）,教育技术学（可授教育学、理学学位）
汉语国际教育（单列类）,教育技术学（可授教育学、理学学位）
汉语国际教育（普通类）,教育技术学（可授教育学、理学学位）
尼泊尔语,外国语言文学
民族学,民族学
民族学 ,民族学
边防管理,管理学
动画,美术学
动物生产类,动物学
动物生产类（动物科学、动物医学）,动物学
动物医学,动物学
动物医学(中兽医学方向),动物学
动物医学（本硕博班）,动物学
动物医学（国家专项计划）,动物学
动物医学(宠物医学方向),动物学
动物医学（宠物医学方向）,动物学
动物医学（宠物医学方向，国家专项计划）,动物学
动物医学类,动物学
动物药学,动物学
动物药学（国家专项计划）,动物学
动物科学,动物学
动物科学(大数据方向),动物学
动物科学（本硕博班）,动物学
动物科学(拔尖人才创新实验班),动物学
动物科学（国家专项计划）,动物学
动物科学(食品科学方向),动物学
动物科学（食品科学方向）,动物学
动物科学（食品科学方向，国家专项计划）,动物学
动植物检疫,生物学
考古学,考古学及博物馆学
地下水科学与工程,地图制图学与地理信息工程
地下水科学与工程(中外合作办学),地图制图学与地理信息工程
地下水信息工程,地图制图学与地理信息工程
地质工程,地质工程
地质工程 ,地质工程
地质工程（双语类）,地质工程
地质工程（汉）,地质工程
地质工程（民）,地质工程
地质工程（含卓越工程师）,地质工程
地质工程（含卓越工程师）（提前批）,地质工程
地质工程（含卓越班）,地质工程
地质工程（单列）,地质工程
地质工程（单列类）,地质工程
地质工程（定向）,地质工程
地质工程(定向),地质工程
地质工程(提前批）,地质工程
地质工程（普通类）,地质工程
地质工程(藏),地质工程
地质工程（藏）,地质工程
地质学,地质学
地质学（地质地球物理复合）,地球物理学
地质学（旅游地学）,地质学
地质学（理科基地班）,地理学
地质学(基地班),地质学
地质学（基地班）,地质学
地质学类,地质学
地质学类 ,地质学
地质学类(地球科学菁英班),地质学
地质学类(含国家理科基地班),地理学
地质学类(菁英班),地质学
地质学类（提前批）,地质学
地质类,地质学
地球化学,地球化学
地球物理学,地球物理学
地球物理学类,地球物理学
地球物理学类(地球物理与信息类),地球物理学
地球物理学类(菁英班),地球物理学
地球物理学类（提前批）,地球物理学
地球信息科学与技术,地球探测与信息技术
地理空间信息工程,地图制图学与地理信息工程
地理科学,地理学
地理科学（公费师范）,地理学
地理科学（公费师范生）,地理学
地理科学(师范),地理学
地理科学（师范）,地理学
地理科学（免费师范）,地理学
地理科学（预科）,地理学
地理科学类,地理学
地理科学类 ,地理学
地理科学类（地理科学、地理信息系统）,地图学与地理信息系统
地理科学类（地理科学、地理信息科学）,地图学与地理信息系统
地理科学类(自然地理与资源环境、人文地理与城乡规划、地理信息科学),人口、资源与环境经济学
地理科学类（基地班：自然地理与资源环境、人文地理与城乡规划、地理信息科学）,人口、资源与环境经济学
地理科学类(基地班：自然地理与资源环境、人文地理与城乡规划、地理信息科学）,人口、资源与环境经济学
地理信息科学,地图学与地理信息系统
地理信息科学（双语类）,地图学与地理信息系统
地理信息科学（普通类）,地图学与地理信息系统
机械工程,机械工程
机械工程（中白联合培养）,机械工程
机械工程（双语类）,机械工程
机械工程（单列）,机械工程
机械工程（普通类）,机械工程
机械与海洋工程类,机械工程
机械电子工程,机械电子工程
机械设计及其自动化(专项理）,机械制造及其自动化
机械设计制造及自动化,机械制造及其自动化
机械设计制造及其自动化,机械制造及其自动化
机械设计制造及其自动化（日语强化）,机械制造及其自动化
机械设计制造及其自动化（中外合作办学）（大连理工大学美国加州大学欧文分校联合项目）,机械制造及其自动化
机械设计制造及其自动化(中法校际交流),机械制造及其自动化
机械设计制造及其自动化(汉),机械制造及其自动化
机械设计制造及其自动化（汉）,机械制造及其自动化
机械设计制造及其自动化（机械卓越计划实验班）,机械制造及其自动化
机械设计制造及其自动化（创新实验班）,机械制造及其自动化
机械设计制造及其自动化（卓越计划）,机械制造及其自动化
机械设计制造及其自动化（国家贫困专项）,机械制造及其自动化
机械设计制造及其自动化（单列四年）,机械制造及其自动化
机械设计制造及其自动化（闽台合作）,机械制造及其自动化
机械设计制造及其自动化(闽台合作),机械制造及其自动化
机械设计制造及其自动化（闽台合作项目）,机械制造及其自动化
机械设计制造及其自动化（普通类）,机械制造及其自动化
机械设计制造及其自动化（藏）,机械制造及其自动化
机械设计制造及其自动化【机械设计制造及其自动化、机械设计制造及其自动化（国际班）】,机械制造及其自动化
机械学,机械工程
机械类,机械工程
机械类  （机电工程类）,机械电子工程
机械类#E,机械工程
机械类（工学Ⅰ）,机械工程
机械类(车辆),机械工程
机械类(中外合作办学),机械工程
机械类（中外合作办学）,机械工程
机械类（中外合作办学）（机械工程）,机械工程
机械类（双语类）,机械工程
机械类（汉）,机械工程
机械类(民族班),机械工程
机械类(机电),机械电子工程
机械类（机电工程类）,机械电子工程
机械类（机械工程）,机械工程
机械类(机械与海洋工程类),机械工程
机械类(机械设计与海洋工程类培养，含机械设计制造及其自动化、车辆,机械制造及其自动化
机械类（机械设计制造及其自动化、车辆工程）,机械制造及其自动化
机械类（机械设计制造及其自动化、车辆工程）（按机械与海洋工程类,机械制造及其自动化
机械类（机械设计制造及其自动化、车辆工程）（按机械与海洋工程类培,机械制造及其自动化
机械类（机械设计制造及其自动化、农业机械化及其自动化）,机械制造及其自动化
机械类（机械类创新实验班）,机械工程
机械类(含机械设计制造及其自动化、车辆工程),机械制造及其自动化
机械类（含机械设计制造及其自动化、农业机械化及其自动化专业）,机械制造及其自动化
机械类(含机械设计制造及其自动化、材料成型及控制工程、过程装备与控制工程专业),机械制造及其自动化
机械类(茅以升学院),机械工程
机械类（国家专项）,机械工程
机械类（国家专项计划）,机械工程
机械类（单列类）,机械工程
机械类（按机械与海洋工程类招生，含机械设计制造及其自动化、车辆工,机械制造及其自动化
机械类（按机械与海洋工程类培养）,船舶与海洋工程
机械类(按机械与海洋工程类培养),船舶与海洋工程
机械类(按机械与海洋工程类培养)(机械设计制造及其自动化、车辆工程),机械制造及其自动化
机械类(按机械与海洋工程类培养，含机械设计,船舶与海洋工程
机械类（按机械与海洋工程类培养，含机械设计制造及其自动化、车辆工,船舶与海洋工程
机械类（高校专项）,机械工程
机械类（高端装备与智能制造）,机械工程
机械类（高端装备与智能制造、机器人）,机械工程
机械类（智能装备）,机械工程
机械类（普通类）,机械工程
机械类（藏）,机械工程
机械类）,机械工程
机器人工程,机械工程
过程装备与控制工程,控制科学与工程
过程装备与控制工程（双语类）,控制科学与工程
过程装备与控制工程（含安全工程专业）,控制科学与工程
过程装备与控制工程（单列）,控制科学与工程
过程装备与控制工程(面向泉州),控制科学与工程
过程装备与控制工程（面向泉州）,控制科学与工程
过程装备与控制工程（普通类）,控制科学与工程
过程装备与控制工程【过程装备与控制工程、安全工程】,控制科学与工程
西班牙语,西班牙语语言文学
西班牙语（企业管理）,西班牙语语言文学
西班牙语（商务）,西班牙语语言文学
轨道交通信号与控制,交通信息工程及控制
光电技术与物理类,电气工程
光电信息科学与工程,电气工程
光电信息科学与工程（“王大珩”光电创新实验班）,电气工程
光电信息科学与工程（王大珩光电创新实验班）,电气工程
光电信息科学与工程（少）,电气工程
光电信息科学与工程(光电技术与物理类),电气工程
光电信息科学与工程（光电卓越计划实验班）,电气工程
光电信息科学与工程（光电信息技术方向）,电气工程
光电信息科学与工程(光电信息技术方向),电气工程
光电信息科学与工程（光电信息技术方向）（按光电技术与物理类招生）,电气工程
光电信息科学与工程（国家专项）,电气工程
光电信息科学与工程（定向）,电气工程
光电信息科学与工程（按光电技术与物理类培养）,电气工程
光电信息科学与工程(按光电技术与物理类培养),电气工程
光电信息科学与工程（按光电技术物理类培养）,电气工程
光电信息科学与工程(智能影像工程方向),电气工程
光电信息科学与工程（普通类）,电气工程
光电信息科学与工程【光电信息科学与工程、测控技术与仪器】,电气工程
网络工程,计算机科学与技术
网络工程(网络空间安全类),计算机科学与技术
网络工程（按网络空间安全类招生）,计算机科学与技术
网络工程(铁道信号方向),计算机科学与技术
网络与信息安全类,计算机科学与技术
网络与新媒体,计算机科学与技术
网络与新媒体(智能融媒体运营方向),计算机科学与技术
网络与新媒体（媒体创意方向）,计算机科学与技术
网络与新媒体(媒体创意方向),计算机科学与技术
网络与新媒体（新媒体网络经营方向）,计算机科学与技术
网络空间安全,计算机科学与技术
网络空间安全（双语类）,计算机科学与技术
网络空间安全（单列类）,计算机科学与技术
网络空间安全（按网络空间安全类培养）,计算机科学与技术
网络空间安全(按网络空间安全类培养),计算机科学与技术
网络空间安全（普通类）,计算机科学与技术
网络空间安全类,计算机科学与技术
传播学,传播学
传播学（网络传播）,传播学
传播学（网络编辑方向）,传播学
传播学(网络编辑方向),传播学
传播学（网络新媒体方向）,传播学
传播学（媒体市场调查与分析方向）,传播学
传播学(媒体市场调查与分析方向),传播学
传播学（新媒体方向）,传播学
传播学(新媒体方向),传播学
传播学（新媒体传播方向）,传播学
自动化,电力系统及其自动化
自动化 ,电力系统及其自动化
自动化（中外合作办学 中爱）,电力系统及其自动化
自动化(中外合作办学),电力系统及其自动化
自动化（中外合作办学）,电力系统及其自动化
自动化(中外合作办学)（与俄罗斯圣光机大学合作办学，中英文授课，,电力系统及其自动化
自动化(中外合作办学)（与俄罗斯圣光机大学合作办学，中英文授课，学,电力系统及其自动化
自动化（双语类）,电力系统及其自动化
自动化(汉),电力系统及其自动化
自动化（汉）,电力系统及其自动化
自动化（民）,电力系统及其自动化
自动化（交叉创新实验班）,电力系统及其自动化
自动化（含卓越工程师）,电力系统及其自动化
自动化（卓越计划）,电力系统及其自动化
自动化（卓越计划实验班）,电力系统及其自动化
自动化（单列）,电力系统及其自动化
自动化（单列类）,电力系统及其自动化
自动化(定向),电力系统及其自动化
自动化（定向）,电力系统及其自动化
自动化(定向)#B9,电力系统及其自动化
自动化（高校专项）,电力系统及其自动化
自动化（理科交叉创新实验班）,电力系统及其自动化
自动化（普通类）,电力系统及其自动化
自动化(演艺工程与智能技术方向),电力系统及其自动化
自动化（演艺工程与舞台技术方向）,电力系统及其自动化
自动化（藏）,电力系统及其自动化
自动化专业（中外合作办学）,电力系统及其自动化
自动化类,电力系统及其自动化
自动化类(中外合作办学),电力系统及其自动化
自动化类(机器人与人工智能),电力系统及其自动化
自动化类(自动化),电力系统及其自动化
自动化类（国家专项）,电力系统及其自动化
自然地理与资源环境,农业资源与环境
自然地理与资源环境（双语类）,农业资源与环境
自然地理与资源环境（单列类）,农业资源与环境
自然地理与资源环境（普通类）,农业资源与环境
自然保护与环境生态类,环境与资源保护法学
自然保护与环境生态类（农学）,环境与资源保护法学
自然保护与环境生态类（国家专项计划）,环境与资源保护法学
自然保护与环境生态类（预科）,环境与资源保护法学
行政管理,行政管理
行政管理 ,行政管理
行政管理(中美合作1+2+1),行政管理
行政管理（文）,行政管理
行政管理（双语类）,行政管理
行政管理（单列）,行政管理
行政管理（单列类）,行政管理
行政管理（高校专项）,行政管理
行政管理（理）,行政管理
行政管理（智慧城市治理方向）,行政管理
行政管理(智慧城市治理方向),行政管理
行政管理（普通类）,行政管理
行政管理科,行政管理
会计学,会计学
会计学 ,会计学
会计学  (  双培计划  ),会计学
会计学  (  外培计划  ),会计学
会计学#H,会计学
会计学(ACCA),会计学
会计学（ACCA方向）,会计学
会计学（中外合作办学）,会计学
会计学(中外合作办学),会计学
会计学（双语实验班）,会计学
会计学（汉）,会计学
会计学（民）,会计学
会计学（会计学、财务管理、审计学）,会计学
会计学(会计学类),会计学
会计学(含会计学、财务管理),会计学
会计学（含会计学、财务管理）,企业管理（含：财务管理、市场营销、人力资源管理）
会计学(含会计学、财务管理、审计学),会计学
会计学（含会计学、财务管理专业）,企业管理（含：财务管理、市场营销、人力资源管理）
会计学（国防生）,会计学
会计学（国际会计师）,会计学
会计学(国际会计师),会计学
会计学（注册会计师）,会计学
会计学（注册会计师专门化方向）,会计学
会计学（注会实验班）,会计学
会计学（按会计学类培养）,会计学
会计学(按会计学类培养),会计学
会计学(按会计学类培养)(含会计学、财务管理、审计学),企业管理（含：财务管理、市场营销、人力资源管理）
会计学(按会计学类培养，会计学、财务管理、审,管理学
会计学(按会计学类培养，含会计学、财务管理、,企业管理（含：财务管理、市场营销、人力资源管理）
会计学（按会计学类培养，含会计学、财务管理、审计学）,企业管理（含：财务管理、市场营销、人力资源管理）
会计学(按会计学类培养，含会计学、财务管理、审计学),企业管理（含：财务管理、市场营销、人力资源管理）
会计学（茶学院）,会计学
会计学（闽台合作项目）,会计学
会计学（厦门大学与爱尔兰都柏林商学院合作举办）,会计学
会计学（厦门大学马来西亚分校）,会计学
会计学（智能会计）,会计学
会计学(藏),会计学
会计学（藏）,会计学
会计学类,会计学
会展经济与管理,教育经济与管理
会展经济与管理科,教育经济与管理
合计,合计
合计（汉）,合计（汉）
匈牙利语,外国语言文学
交通工程,交通运输工程
交通工程（双语类）,交通运输工程
交通工程（国际工程班）,交通运输工程
交通工程（单列）,交通运输工程
交通工程（单列类）,交通运输工程
交通工程（普通类）,交通运输工程
交通工程??????????? （国际工程班）,交通运输工程
交通设备与控制工程,交通信息工程及控制
交通设备与控制工程（中白联合培养）,交通信息工程及控制
交通运输,交通运输工程
交通运输（民航电子电气工程）,交通运输工程
交通运输（民航机务工程）,交通运输工程
交通运输（民航运输管理）,交通运输规划与管理
交通运输（机场运行与管理）,交通运输规划与管理
交通运输（空中交通管制与签派）,交通运输规划与管理
交通运输(城市轨道交通方向),交通运输工程
交通运输类,交通运输工程
交通运输类（汉）,交通运输工程
交通运输类（民）,交通运输工程
交通运输类（汽车学院）,交通运输工程
交通运输类(茅以升学院),交通运输工程
交通运输类（经管学院）,交通运输工程
交通运输类（藏）,交通运输工程
交通运输类(藏),交通运输工程
交通管理,交通运输规划与管理
宇航与机电类,航空宇航科学与技术
宇航与机电类(民族班),航空宇航科学与技术
宇航与机电类(国家专项),航空宇航科学与技术
安全工程,安全技术及工程
安全工程(民族班),安全技术及工程
安全工程(交通安全与信息技术),安全技术及工程
安全工程（安全检测技术）,安全技术及工程
安全工程(定向),安全技术及工程
安全工程（定向）,安全技术及工程
安全科学与工程类,安全技术及工程
安全科学与工程类(中外合作办学),安全技术及工程
农业水利工程,农业水土工程
农业电气化,农业电气化与自动化
农业机械化及其自动化,农业电气化与自动化
农业机械化及其自动化（本硕博班）,农业电气化与自动化
农业经济管理类,农业经济管理
农业经济管理类（民考汉）,农业经济管理
农业经济管理类（国家专项）,农业经济管理
农业资源与环境,农业资源与环境
农业资源与环境（中加合作班）,农业资源与环境
农业资源与环境（本硕博班）,农业资源与环境
农村区域发展,区域经济学
农村区域发展（国家专项计划）,区域经济学
农林经济管理,农林经济管理
农林经济管理 ,农林经济管理
农林经济管理（文史）,农林经济管理
农林经济管理（本硕博班）,农林经济管理
农林经济管理（理工）,农林经济管理
农林经济管理（梁希实验班）,农林经济管理
农学,农学
农学（本硕博班）,农药学（可授农学、理学学位）
设计学类,设计艺术学
设计学类 ,设计艺术学
设计学类(工业设计),设计艺术学
设计学类（工业设计）,设计艺术学
设计学类（工业设计）（国家专项）,设计艺术学
设计学类（加权成绩）,设计艺术学
设计学类(加权成绩),设计艺术学
设计学类（产品设计、数字媒体艺术）（美术类统考成绩）,设计艺术学
设施农业科学与工程,农业机械化工程
戏剧影视文学,戏剧戏曲学
戏剧影视导演,戏剧戏曲学
运动人体科学,运动人体科学
