major (origin),major2 (disambiguated)
轻化工程,轻工技术与工程
轻化工程(中外合作办学),轻工技术与工程
临床医学,临床医学
临床医学 ,临床医学
临床医学(5+3),临床医学
临床医学(5+3一体化),临床医学
临床医学（5+3一体化培养）,临床医学
临床医学(5+3一体化培养),临床医学
临床医学（八年）,临床医学
临床医学(八年),临床医学
临床医学(八年制),临床医学
临床医学（八年制）,临床医学
临床医学(口腔),口腔临床医学
临床医学（口腔医学）,口腔临床医学
临床医学(专项理）,临床医学
临床医学（专科）,临床医学
临床医学(五加三一体化),临床医学
临床医学（五年）,临床医学
临床医学(五年),临床医学
临床医学（五年制）,临床医学
临床医学（分院）,临床医学
临床医学（六年、临床医学专业中德实验班）,临床医学
临床医学（六年制中德实验班）,临床医学
临床医学(本硕连读),临床医学
临床医学（本硕博贯通培养）,临床医学
临床医学(本博连读),临床医学
临床医学(汉语),临床医学
临床医学（民考汉）,临床医学
临床医学(免费医学定向),临床医学
临床医学（国家贫困专项）,临床医学
临床医学（学制5年）,临床医学
临床医学（定向）,临床医学
临床医学（贯通培养）,临床医学
临床医学（南疆单列专科）,临床医学
临床医学(藏语),临床医学
临床医学类,临床医学
临床医学类 ,临床医学
临床医学类（中外合作办学）,临床医学
临床药学,临床医学
临床药学 ,临床医学
省内预科班,省内预科班
省外预科班,省内预科班
思想政治教育,思想政治教育
思想政治教育 ,思想政治教育
思想政治教育（公费师范）,思想政治教育
思想政治教育（公费师范） ,思想政治教育
思想政治教育（双语类）,思想政治教育
思想政治教育(师范),思想政治教育
思想政治教育（师范）,思想政治教育
思想政治教育（免费师范）,思想政治教育
思想政治教育（单列）,思想政治教育
思想政治教育（单列类）,思想政治教育
思想政治教育（预科）,思想政治教育
思想政治教育（普通类）,思想政治教育
思想政治教育（藏）,思想政治教育
种子科学与工程,农业工程
科技与创意设计试验班,计算机科学与技术
科学教育,教育学
科学教育（师范）,教育学
科学教育（师范类）,教育学
科学教育学,教育学
复合材料与工程,材料科学与工程
保险学,金融学（含∶保险学）
保险学  (  保险与风险管理  ),金融学（含∶保险学）
保险学  (  保险精算  ),金融学（含∶保险学）
保险学（财务与会计双语实验班）,金融学（含∶保险学）
保险学（精算双语实验班）,金融学（含∶保险学）
俄语,俄语语言文学
俄语 ,俄语语言文学
俄语（文史）,俄语语言文学
俄语（双语类）,俄语语言文学
俄语（金融）,俄语语言文学
俄语（单列）,俄语语言文学
俄语（单列类）,俄语语言文学
俄语（俄语翻译）,俄语语言文学
俄语（理工）,俄语语言文学
俄语（普通类）,俄语语言文学
信用管理,管理学
信息工程,信息与通讯工程
信息工程（航天信息应用）,信息与通讯工程
信息与计算科学,计算机科学与技术
信息与计算科学（双语类）,计算机科学与技术
信息与计算科学（单列）,计算机科学与技术
信息与计算科学（单列类）,计算机科学与技术
信息与计算科学（普通类）,计算机科学与技术
信息与通信工程类,信息与通讯工程
信息对抗技术,地球探测与信息技术
信息安全,通信与信息系统
信息安全(中外合作办学),通信与信息系统
信息安全（双语类）,通信与信息系统
信息安全（民）,通信与信息系统
信息安全(民),通信与信息系统
信息安全(网络空间安全类),通信与信息系统
信息安全（单列）,通信与信息系统
信息安全（单列四年）,通信与信息系统
信息安全（单列类）,通信与信息系统
信息安全（按网络空间安全类招生）,通信与信息系统
信息安全(按网络空间安全类培养),通信与信息系统
信息安全（普通类）,通信与信息系统
信息科学技术,信号与信息处理
信息科学技术(民族班),信号与信息处理
信息科学技术(国家专项),信号与信息处理
信息科学技术（国家专项）,信号与信息处理
信息资源管理,管理学
信息资源管理（民考汉）,管理学
信息资源管理（国家专项）,管理学
信息管理与信息系统,信息与通讯工程
信息管理与信息系统 ,信息与通讯工程
信息管理与信息系统（大数据与商务分析）,信息与通讯工程
信息管理与信息系统（大数据与商务分析方向）,信息与通讯工程
信息管理与信息系统(计算机信息网络),信息与通讯工程
信息管理与信息系统（医学信息）,信息与通讯工程
信息管理与信息系统（国家专项计划）,信息与通讯工程
信息管理与信息系统(定向),信息与通讯工程
信息管理与信息系统（定向）,信息与通讯工程
信息管理与信息系统（商务智能方向）,信息与通讯工程
信息管理与信息系统（管理信息方向）,信息与通讯工程
信息管理与信息系统类,信息与通讯工程
信息管理学与信息系统,信息与通讯工程
信息管理科与信息系统,信息与通讯工程
食品卫生与营养学,营养与食品卫生学
食品质量与安全,食品科学与工程
食品质量与安全(中外合作办学),食品科学与工程
食品质量与安全（国家专项计划）,食品科学与工程
食品质量与安全专业（中外合作办学）,食品科学与工程
食品科学与工程,食品科学与工程
食品科学与工程 ,食品科学与工程
食品科学与工程  (  食品加工工艺  ),食品科学与工程
食品科学与工程  (  高精尖项目  ),食品科学与工程
食品科学与工程  （中外合作办学）,食品科学与工程
食品科学与工程（中外合作办学）,食品科学与工程
食品科学与工程（双语类）,食品科学与工程
食品科学与工程（本硕博班）,食品科学与工程
食品科学与工程（外培计划）,食品科学与工程
食品科学与工程(汉),食品科学与工程
食品科学与工程（汉）,食品科学与工程
食品科学与工程（民）,食品科学与工程
食品科学与工程（国家专项计划）,食品科学与工程
食品科学与工程（单列）,食品科学与工程
食品科学与工程（单列类）,食品科学与工程
食品科学与工程（定向）（单列）,食品科学与工程
食品科学与工程（闽台合作项目）,食品科学与工程
食品科学与工程（普通类）,食品科学与工程
食品科学与工程（藏）,食品科学与工程
食品科学与工程类,食品科学与工程
食品科学与工程类  (  中外合作办学  ),食品科学与工程
食品科学与工程类(中外合作办学),食品科学与工程
食品科学与工程类(民族班),食品科学与工程
食品科学与工程类(含食品科学与工程、食品质量与安全专业),食品科学与工程
食品科学与工程类(食品质量与安全),食品科学与工程
食品科学与工程类（食品科学与工程、食品质量与安全）,食品科学与工程
食品科学与工程类(食品科学与工程、食品质量与安全),食品科学与工程
食品科学与工程类（预科）,食品科学与工程
贸易经济,经济学
音乐表演,音乐学
音乐表演 ,音乐学
音乐表演(121项目),音乐学
音乐表演(民乐),音乐学
音乐表演(声乐),音乐学
音乐表演（声乐),音乐学
音乐表演（声乐）,音乐学
音乐表演(键盘),音乐学
音乐表演(管弦),音乐学
音乐表演（器乐）,音乐学
音乐表演(器乐)二胡,音乐学
音乐表演（器乐）二胡,音乐学
音乐表演(器乐)大提琴,音乐学
音乐表演（器乐）中阮,音乐学
音乐表演(器乐)中阮,音乐学
音乐表演（器乐）打击乐,音乐学
音乐表演(器乐)打击乐,音乐学
音乐表演(器乐)古筝,音乐学
音乐表演（器乐）扬琴,音乐学
音乐表演(器乐)扬琴,音乐学
音乐表演(器乐)竹笛,音乐学
音乐表演(器乐)低音提琴,音乐学
音乐表演(器乐)钢琴,音乐学
音乐表演（器乐）钢琴,音乐学
音乐表演（器乐）唢呐,音乐学
音乐表演（器乐）笛子,音乐学
音乐表演(器乐)笙,音乐学
音乐表演（器乐）琵琶,音乐学
音乐表演(器乐)琵琶,音乐学
音乐学,音乐学
音乐学(少数民族音乐),民族学
音乐学(师范),音乐学
音乐学（师范）,音乐学
音乐学（师范）(声乐),音乐学
音乐学（师范）(器乐)（大提琴）,音乐学
美术学,美术学
美术学（艺术管理与策划方向，加权成绩）,美术学
美术学(加权成绩),美术学
美术学类,美术学
测绘工程,大地测量学与测量工程
测绘工程（双语类）,大地测量学与测量工程
测绘工程（单列）,大地测量学与测量工程
测绘工程（普通类）,大地测量学与测量工程
测绘类,测绘科学与技术
测绘类（汉）,测绘科学与技术
测绘类(茅以升学院),测绘科学与技术
测控技术与仪器,测绘科学与技术
测控技术与仪器 ,测绘科学与技术
语言学,语言学及应用语言学
绘画,美术学
绘画(加权成绩),美术学
绘画（加权成绩）,美术学
给排水科学与工程,水利工程
给排水科学与工程（双语类）,水利工程
给排水科学与工程（单列）,水利工程
给排水科学与工程（给排水卓越计划实验班）,水利工程
给排水科学与工程（高校专项）,水利工程
给排水科学与工程（普通类）,水利工程
统计学,统计学
统计学（双语类）,统计学
统计学（国家专项计划）,统计学
统计学（单列）,统计学
统计学（单列类）,统计学
统计学（普通类）,统计学
统计学类,统计学
统计学类  (  中外合作办学  )  （风险和精算）,统计学
统计学类  (  中外合作办学  )(  风险和精算  ),统计学
统计学类（国家专项）,统计学
统计学类（理学）,统计学
泰米尔语,外国语言文学
泰语,外国语言文学
蚕学,特种经济动物饲养（含：蚕、蜂等）
哲学,哲学
哲学 ,哲学
哲学（文史哲基地）,哲学
哲学类,哲学
荷兰语,外国语言文学
档案学,档案学
档案学 ,档案学
校本部,校本部
核工程与核技术,核能科学与工程
核工程类,核能科学与工程
核工程类 ,核能科学与工程
核工程类（核工程与核技术、辐射防护与核安全）,核能科学与工程
核科学与技术基地班(放射化学方向),核科学与技术
核科学与技术基地班(原子核物理),核科学与技术
核科学与技术基地班(原子核物理与核技术方向),核科学与技术
铁道工程,道路与铁道工程
铁道工程（汉）,道路与铁道工程
特殊教育,特殊教育学
特殊教育（公费师范）,特殊教育学
特殊教育（公费师范),特殊教育学
特殊教育(心理),特殊教育学
特殊教育(师范),特殊教育学
特殊教育（免费师范）,特殊教育学
特殊教育（预科）,特殊教育学
秘书学,图书馆学
徐特立英才班,徐特立英才班
航空航天工程,航空宇航制造工程
航空航天与武器类,航空宇航科学与技术
航空航天与武器类（国家专项）,航空宇航科学与技术
航空航天类,航空宇航科学与技术
航空航天类（国家专项）,航空宇航科学与技术
航空航天类（航空航天工程、工程力学）,航空宇航科学与技术
高分子材料与工程,材料科学与工程
高分子材料与工程  (  高精尖项目  ),材料科学与工程
高分子材料与工程(中外合作办学),材料科学与工程
高分子材料与工程（中外合作办学）,材料科学与工程
高分子材料与工程(中外合作办学专业),材料科学与工程
高分子材料与工程（双语类）,材料科学与工程
高分子材料与工程（先进材料）,材料科学与工程
高分子材料与工程（拔尖人才试点班）,材料科学与工程
高分子材料与工程（拔尖人才试点班),材料科学与工程
高分子材料与工程(拔尖人才试点班),材料科学与工程
高分子材料与工程（单列）,材料科学与工程
高分子材料与工程（定向）,材料科学与工程
高分子材料与工程(定向),材料科学与工程
高分子材料与工程（普通类）,材料科学与工程
高收费,高收费
资产评估,资产评估
资源环境科学（本研一体培养班）,环境科学
资源勘查工程,地质资源与地质工程
资源勘查工程（双语类）,地质资源与地质工程
资源勘查工程（地矿）,地质资源与地质工程
资源勘查工程（地矿专业）,地质资源与地质工程
资源勘查工程(地矿专业),地质资源与地质工程
资源勘查工程(含基地班),地质资源与地质工程
资源勘查工程（固体矿产）,地质资源与地质工程
资源勘查工程（单列）,地质资源与地质工程
资源勘查工程（单列类）,地质资源与地质工程
资源勘查工程(定向),地质资源与地质工程
资源勘查工程（能源）,地质资源与地质工程
资源勘查工程(基地班),地质资源与地质工程
资源勘查工程（提前批）,地质资源与地质工程
资源勘查工程(提前批),地质资源与地质工程
资源勘查工程（普通类）,地质资源与地质工程
资源勘查工程（新能源地质与工程）,地质资源与地质工程
资源循环科学与工程,环境科学与工程
旅游管理,旅游管理
旅游管理（少数民族）,旅游管理
旅游管理(中外合作办学),旅游管理
旅游管理（中法联合培养）,旅游管理
旅游管理（文史）,旅游管理
旅游管理（双语类）,旅游管理
旅游管理（双语班文史）,旅游管理
旅游管理(双语班南单理）,旅游管理
旅游管理（双语班理工）,旅游管理
旅游管理（汉族）,旅游管理
旅游管理(民族班),旅游管理
旅游管理（单列）,旅游管理
旅游管理（单列类）,旅游管理
旅游管理（理工）,旅游管理
旅游管理（普通类）,旅游管理
旅游管理（蒙授）,旅游管理
旅游管理科,旅游管理
旅游管理科类,旅游管理
旅游管理类,旅游管理
粉体材料科学与工程,材料科学与工程
烟草,草业科学
酒店管理,管理学
酒店管理（双语类）,管理学
酒店管理（单列）,管理学
酒店管理（单列类）,管理学
酒店管理（普通类）,管理学
酒店管理科,管理学
消防工程,防灾减灾工程及防护工程
海事管理,管理学
海洋工程与技术,船舶与海洋工程
海洋工程类,船舶与海洋工程
海洋技术,海洋科学
海洋技术（厦门大学马来西亚分校）,海洋科学
海洋科学,海洋科学
海洋科学(菁英班),海洋科学
海洋科学（厦门大学马来西亚分校）,海洋科学
海洋科学类,海洋科学
海洋资源与环境,海洋科学
海洋资源开发技术,海洋科学
通信工程,信息与通讯工程
通信工程(+人工智能，大类招生),信息与通讯工程
通信工程（无线多媒体广播技术方向）,信息与通讯工程
通信工程(无线多媒体广播技术方向),信息与通讯工程
通信工程（中外合作办学）,信息与通讯工程
通信工程(双一流实验班，大类招生),信息与通讯工程
通信工程（双语类）,信息与通讯工程
通信工程(含通信工程、信息对抗技术),信息与通讯工程
通信工程（含通信工程、信息对抗技术）（按信息与通信工程类培养）,信息与通讯工程
通信工程（卓越工程师班）,信息与通讯工程
通信工程(国防生),信息与通讯工程
通信工程（单列）,信息与通讯工程
通信工程（单列类）,信息与通讯工程
通信工程（按信息与通信工程类招生，含通信工程、信息对抗技术）,信息与通讯工程
通信工程（按信息与通信工程类培养）,信息与通讯工程
通信工程(按信息与通信工程类培养),信息与通讯工程
通信工程(按信息与通信工程类培养)(含通信工程、信息对抗技术),信息与通讯工程
通信工程（按信息与通信工程类培养，含通信工程、信息对抗技术）,信息与通讯工程
通信工程（南疆单列）,信息与通讯工程
通信工程(信息与通信工程类),信息与通讯工程
通信工程（高校专项）,信息与通讯工程
通信工程(教改班),信息与通讯工程
通信工程（普通类）,信息与通讯工程
通信工程类,信息与通讯工程
通信与信息工程类,信息与通讯工程
能源与动力工程,动力机械及工程
能源与动力工程（双语类）,动力机械及工程
能源与动力工程（单列）,动力机械及工程
能源与动力工程（单列类）,动力机械及工程
能源与动力工程（能源卓越计划实验班）,动力机械及工程
能源与动力工程（普通类）,动力机械及工程
能源与环境系统工程,动力机械及工程
能源化学工程,动力机械及工程
能源动力与工程,动力机械及工程
能源动力类,动力机械及工程
能源动力类 ?（能动）,动力机械及工程
能源动力类 ?（新能源）,动力机械及工程
能源动力类（工学Ⅱ）,动力机械及工程
能源动力类(含能源与动力工程、能源与环境系统工程),动力机械及工程
能源动力类（能动）,动力机械及工程
能源动力类(能源与动力工程、能源与环境系统工程),动力机械及工程
能源动力类（新能源）,动力机械及工程
能源动力类（新能源科学与工程、能源与动力工程、核工程与核技术）,动力机械及工程
能源经济,经济学
预防医学,公共卫生与预防医学
预防医学 ,公共卫生与预防医学
预防医学(五年),公共卫生与预防医学
预防医学（五年制）,公共卫生与预防医学
预防医学（分院）,公共卫生与预防医学
预防医学（学制五年）,公共卫生与预防医学
预防医学(南单理）,公共卫生与预防医学
预科,预科
预科（文）,预科（文）
预科（理）,预科（理）
预科文科,预科文科
预科班,预科班
预科班（人力资源管理）（只招少数民族考生）,预科班（人力资源管理）（只招少数民族考生）
预科理科,预科理科
理工实验班,理工实验班
理工类实验班,理工实验班
理论与应用力学 ,工程力学
理论与应用力学(基地班),工程力学
理论与应用力学基地班,工程力学
理学工学类,理学
理学与材料菁英班,材料物理与化学
理学与材料菁英班(民族班),材料物理与化学
理学与材料菁英班（国家专项）,材料物理与化学
理学与材料菁英班(国家专项),材料物理与化学
理科,理学
理科工程与工艺,理学
理科试验班,理科试验班
理科试验班（化学优培计划）,物理化学（含：化学物理）
理科试验班（化学类）,物理化学（含：化学物理）
理科试验班（可选专业：数学、物理、化学、生物）,物理化学（含：化学物理）
理科试验班（可选专业：数学、物理学、化学、生物学）,物理化学（含：化学物理）
理科试验班(弘毅学堂),理科试验班
理科试验班（环境理工、环境经管）,环境科学与工程
理科试验班（环境理工、环境经管，民考汉）,环境科学与工程
理科试验班（环境理工、环境经管，国家专项）,环境科学与工程
理科试验班（国家专项）,理科试验班
理科试验班（物理、化学与心理学）,物理化学（含：化学物理）
理科试验班（物理、化学与心理学，国家专项）,物理化学（含：化学物理）
理科试验班（物理类）,物理化学（含：化学物理）
理科试验班(信息与通信基础科学),信息与通讯工程
理科试验班（信息与数学）,信息与通讯工程
理科试验班（信息与数学，国家专项）,信息与通讯工程
理科试验班（钱伟长学院（国家试点学院））,理科试验班
理科试验班(资源与环境类),农业资源与环境
理科试验班（海洋类）,海洋科学
理科试验班(数学与信息科学),信号与信息处理
理科试验班（数学类）,数学
理科试验班(数理科学类),理科试验班
理科试验班类,理科试验班
理科试验班类（中法工程师学院）,理科试验班
理科试验班类(中法工程师学院),理科试验班
理科试验班类(化学与生命科学类),化学
理科试验班类(弘毅学堂),理科试验班
理科试验班类(匡亚明学院大理科班),理科试验班
理科试验班类(地球科学与资源环境类),环境科学与工程
理科试验班类（高等理科学院）,理科试验班
理科试验班类(高等理科学院),理科试验班
理科统招,理科统招
捷克语,外国语言文学
教育技术学,教育技术学（可授教育学、理学学位）
教育技术学（公费师范）,教育技术学（可授教育学、理学学位）
教育技术学(师范),教育技术学（可授教育学、理学学位）
教育技术学（师范）,教育技术学（可授教育学、理学学位）
教育学,教育学
教育学（文史）,教育学
教育学（师范）,教育学
教育学(师范),教育学
教育学（师范类）,教育学
教育学（国家试点学院）,教育学
教育学(国家试点学院),教育学
教育学（晏阳初实验班）,教育学
教育学(晏阳初实验班),教育学
教育学（理工）,教育学原理
教育学类,教育学
教育学类（中外合作办学）,教育技术学（可授教育学、理学学位）
教育学类（中外合作办学）学前教育,学前教育学
教育学类(学前教育、小学教育)(师范),学前教育学
教育学类(晏阳初实验班),教育学
教育学类（教育技术学、学前教育、小学教育）,教育学
教育康复学,教育学
探测制导与控制技术,地球探测与信息技术
探测制导与控制技术（航天）,导航、制导与控制
基础医学,基础医学
基础医学(五年),基础医学
基础医学（五年制）,基础医学
基础医学（基地班）,基础医学
基础医学(基地班),基础医学
勘查技术与工程,轻工技术与工程
勘查技术与工程(钻探工程方向),轻工技术与工程
勘查技术与工程(勘查地球物理方向),轻工技术与工程
救助与打捞工程,轻工技术与工程
眼视光医学,眼科学
眼视光医学(五年),眼科学
眼视光学,光学
野生动物与自然保护区管理,野生动植物保护与利用
野生动物与自然保护区管理（森林康养方向）,野生动植物保护与利用
船舶与海洋工程,船舶与海洋工程
船舶与海洋工程（船舶与海洋卓越计划实验班）,船舶与海洋工程
麻醉学,麻醉学
麻醉学(五年),麻醉学
康复治疗学,康复医学与理疗学
商务英语,英语语言文学
商务经济学,经济学
越南语,外国语言文学
葡萄与葡萄酒工程,外国语言文学
葡萄牙语,外国语言文学
葡萄酒与葡萄酒工程,外国语言文学
朝鲜语,外国语言文学
朝鲜语（韩语）,外国语言文学
植物生产类,植物学
植物生产类（Ⅰ）,植物学
植物生产类（Ⅱ）,植物学
植物生产类（双语班）,植物学
植物生产类（农学、园艺）,植物学
植物生产类（预科）,植物学
植物科学与技术,植物学
植物科学与技术(中外合作办学),植物学
植物保护,植物保护
森林工程,森林工程
森林保护,森林保护学
智能电网信息工程,模式识别与智能系统
智能医学工程,模式识别与智能系统
智能制造工程,模式识别与智能系统
智能制造与车辆实验班,模式识别与智能系统
智能制造与车辆实验班(民族班),模式识别与智能系统
智能制造与车辆实验班(国家专项),模式识别与智能系统
智能建造,模式识别与智能系统
智能科学与技术,模式识别与智能系统
智能科学与技术(智能媒体技术方向),模式识别与智能系统
税收学,财政学（含∶税收学）
集成电路设计,电路与系统
集成电路设计与集成系统,电路与系统
集成电路设计与集成系统（集成电路卓越计划实验班）,电路与系统
道路桥梁与渡河工程,桥梁与隧道工程
道路桥梁与渡河工程（中外合作办学）,桥梁与隧道工程
道路桥梁与渡河工程（国际工程班）,桥梁与隧道工程
港口航道与海岸工程,港口、海岸及近海工程
港口航道与海岸工程（定向）,港口、海岸及近海工程
港口航道与海岸工程(定向),港口、海岸及近海工程
编辑出版学,文学
编辑出版学 ,文学
编辑出版学（网络编辑方向）,文学
编辑出版学（蒙授）,文学
瑞典语,外国语言文学
摄影,摄影测量与遥感
蒙古语言文学（文理综合班）,外国语言文学
蒙古语言文学（基地）,外国语言文学
蒙古语言文学（基里尔蒙古文）,外国语言文学
蜂学,特种经济动物饲养（含：蚕、蜂等）
微电子与集成电路类,微电子学与固体电子学
微电子科学与工程,电子科学与技术
微电子科学与工程（民）,电子科学与技术
微电子科学与工程（定向）,电子科学与技术
微电子科学与技术,电子科学与技术
遥感科学与技术,摄影测量与遥感
遥感科学与技术(遥感科学与技术类),摄影测量与遥感
新闻,新闻学
新闻传播学,新闻传播学
新闻传播学类,新闻传播学
新闻传播学类 ,新闻传播学
新闻传播学类（文）,新闻传播学
新闻传播学类（双语类）,新闻传播学
新闻传播学类（民考汉）,新闻传播学
新闻传播学类(民族班),新闻传播学
新闻传播学类(含新闻学、广播电视学、广告学、网络与新媒体),新闻传播学
新闻传播学类（国家专项）,新闻传播学
新闻传播学类（单列类）,新闻传播学
新闻传播学类(定向),新闻传播学
新闻传播学类（按新媒体类培养）,新闻传播学
新闻传播学类（高校专项）,新闻传播学
新闻传播学类（理）,新闻传播学
新闻传播学类（普通类）,新闻传播学
新闻传播学类（新闻学、广播电视学）,新闻传播学
新闻传播学类(新闻学、广播电视学、广告学、网络与新媒体),新闻传播学
新闻传播类,新闻传播学
新闻学,新闻学
新闻学（文史）,新闻学
新闻学（双语类）,新闻学
新闻学（卓越人才实验班）,新闻学
新闻学（国际新闻）,新闻学
新闻学（国家贫困专项）,新闻学
新闻学（单列）,新闻学
新闻学(法制新闻）,新闻学
新闻学（法制新闻）,新闻学
新闻学（经济新闻方向）,新闻学
新闻学（理工）,新闻学
新闻学（厦门大学马来西亚分校）,新闻学
新闻学（普通类）,新闻学
新闻学（蒙授）,新闻学
新闻学(数据新闻报道方向),新闻学
新能源材料与器件,农业生物环境与能源工程
新能源科学与工程,农业生物环境与能源工程
新能源科学与工程（厦门大学马来西亚分校）,农业生物环境与能源工程
意大利语,外国语言文学
粮食工程,食品科学与工程
数字媒体艺术,传播学
数字媒体技术,传播学
数字媒体技术 ,传播学
数字媒体技术（中外合作办学 中爱）,传播学
数字媒体技术（中外合作办学）,传播学
数字媒体技术（厦门大学马来西亚分校）,传播学
数字媒体技术（游戏设计技术方向）,传播学
数字媒体技术(游戏设计技术方向),传播学
数学,数学
数学与应用数学,应用数学
数学与应用数学（与金融学复合）,应用数学
数学与应用数学（公费师范）,应用数学
数学与应用数学（双语类）,应用数学
数学与应用数学(师范),应用数学
数学与应用数学（师范）,应用数学
数学与应用数学(师范类),应用数学
数学与应用数学（免费师范）,应用数学
数学与应用数学(英才班),应用数学
数学与应用数学（金融数学方向）,应用数学
数学与应用数学（单列）,应用数学
数学与应用数学（单列类）,应用数学
数学与应用数学(南单理）,应用数学
数学与应用数学（信息英才班）,应用数学
数学与应用数学(信息英才班),应用数学
数学与应用数学（预科）,应用数学
数学与应用数学（基地班）,应用数学
数学与应用数学(基地班),应用数学
数学与应用数学（基础学科拔尖人才培养实验班）,应用数学
数学与应用数学（厦门大学马来西亚分校）,应用数学
数学与应用数学（普通类）,应用数学
数学与应用数学（数学与经济学双学位班）,应用数学
数学与应用数学（数学经济创新班）,应用数学
数学与应用数学(数学经济创新班),应用数学
数学和应用数学,应用数学
数学类,数学
数学类 ,数学
数学类(含数学与应用数学(基地班)、信息与计算科学),数学
数学类(含数学与应用数学、信息与计算科学专业),数学
数学类（应用数学与统计）,应用数学
数学类(应用数学与统计),应用数学
数学类(茅以升学院),数学
数学类（金融数学）,数学
数学类（信息与计算科学、数学与应用数学）,数学
数学类(信息与计算科学、数学与应用数学),数学
数学类（数学与应用数学(与金融学复合)、信息与计算科学、数学与应用,数学
数学类(数学与应用数学、信息与计算科学),数学
数学类(数学与应用数学、信息与计算科学) ,数学
数学类(数学与应用数学、信息与计算科学)(含基地班),数学
数学类（数学与应用数学、信息与计算科学、统计学、金融数学）,数学
数学类（数学与应用数学、统计学）,数学
数学类(数理实验班),数学
数学菁英班,数学
数学菁英班（国家专项）,数学
数理基础科学（数理基地，物理学）,基础数学
"数理基础科学（数理基地,数学）",基础数学
数据科学与大数据,数据科学与大数据
数据科学与大数据技术,数据科学与大数据
数据科学与大数据技术（双语类）,数据科学与大数据
数据科学与大数据技术(传媒大数据方向),数据科学与大数据
数据科学与大数据技术（单列类）,数据科学与大数据
数据科学与大数据技术（普通类）,数据科学与大数据
塞尔维亚语,外国语言文学
酿酒工程,食品科学与工程
舞蹈表演,舞蹈学
舞蹈学,舞蹈学
管理科学,管理学
管理科学与 ?工程类,管理学
管理科学与工程类,管理学
管理科学与工程类  （大数据管理类）,管理学
管理科学与工程类（中外合作）,管理学
管理科学与工程类（中外合作办学）,管理学
管理科学与工程类(文),管理学
管理科学与工程类（文）,管理学
管理科学与工程类(文史),管理学
管理科学与工程类（文科）,管理学
管理科学与工程类（含信息管理与信息系统）,管理学
管理科学与工程类(含信息管理与信息系统、工程管理、物流管理专业),管理学
管理科学与工程类（含信息管理与信息系统专业、管理科学专业<金融工程方向>）,管理学
管理科学与工程类（信息管理与信息系统）,管理学
管理科学与工程类（信息管理与信息系统、工业工程）,管理学
管理科学与工程类（信息管理与信息系统、工业工程、电子商务）,管理学
管理科学与工程类(信息管理与信息系统、工业工程、电子商务）,管理学
管理科学与工程类（信息管理与信息系统、工业工程、电子商务、物流,管理学
管理科学与工程类(信息管理与信息系统、工业工程、电子商务、物流管,管理学
管理科学与工程类（信息管理与信息系统、工业工程、电子商务、物流管,管理学
管理科学与工程类（理）,管理学
管理科学与工程类(理),管理学
管理科学与工程类(理工),管理学
管理科学与工程类（管理科学<金融工程方向>,管理学
管理科学与工程类（管理科学专业<金融工程方向>）,管理学
僧伽罗语,外国语言文学
精细化工,化学工程
精算学,计算数学
播音与主持艺术,广播电视艺术学
播音与主持艺术（艺术文）,广播电视艺术学
播音与主持艺术（艺术理）,广播电视艺术学
德语,德语语言文学
德语 ,德语语言文学
德语(师范),德语语言文学
德语（国际传播）,德语语言文学
德语（经济学）,德语语言文学
德语（涉外法商）,德语语言文学
德语（商务）,德语语言文学
雕塑,艺术学
翻译,外国语言文学
翻译(双外语),外国语言文学
翻译（涉外法商）,外国语言文学
